subzone_n,pln_area_n,beach_area,business_2,educational_institution,utility,special_use,waterbody,port_/_airport,park,road,business_1_-_white,commercial,light_rapid_transit,transport_facilities,health_&_medical_care,commercial_/_institution,business_1,residential,sports_&_recreation,commercial_&_residential,mass_rapid_transit,civic_&_community_institution,open_space,residential_with_commercial_at_1st_storey,cemetery,reserve_site,white,place_of_worship,business_2_-_white,hotel,residential_/_institution,business_park_-_white,business_park,agriculture,pri_classification
FABER,CLEMENTI,0,0,19050.0701560125,4731.45363060836,0,110814.265425741,0,27788.4564118274,205273.597499824,0,0,0,0,0,0,0,404840.609582986,0,0,0,0,78.8170522771866,0,0,175581.637759369,0,0,0,0,0,0,0,0,RESIDENTIAL
PANDAN,CLEMENTI,0,908708.78508674,0,4710.09964284137,0,250154.121317806,0,0,147263.90667993,0,0,0,2085.77803655293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
SUNSET WAY,CLEMENTI,0,0,0,504.542554350743,0.00616352393095466,52454.7467710932,0,27455.3274478021,116372.381160175,0,0,0,0,0,0,0,694568.960542794,0,23692.6538074597,0,0,0,0,0,48875.9869302923,0,0,0,0,0,0,0,0,RESIDENTIAL
TOH TUCK,CLEMENTI,0,572267.419376301,0,28492.4346453015,173545.983610941,85071.9330979637,0,0,257164.352266515,0,0,0,400058.291511941,0,0,72698.5835171135,0,0,0,0,26765.9342878462,0,0,0,461903.89897367,0,0,0,0,0,0,0,0,BUSINESS 2
WEST COAST,CLEMENTI,0,0,60882.2406320191,1411.5751017534,0,30453.1053045401,0,23937.2549706501,176105.438067599,0,0,0,0,0,0,0,400845.216964206,0,0.00562087172142255,0,0,3796.84368999301,17824.6730349735,0,3413.80133397683,0,3918.50801502208,0,0,0,0,0,0,RESIDENTIAL
ANSON,DOWNTOWN CORE,0,0,0,0,0,0,0,0,46174.9933507474,0,38685.4545672266,0,0,0,0,0,0,0,0,0,0,0,7356.18594742823,0,4.0069232044023e-06,0,0,0,11021.8468385875,0,0,0,0,ROAD
BAYFRONT SUBZONE,DOWNTOWN CORE,0,0,0,5059.59928001562,0,178124.268103497,0,0,91735.1180299225,0,0,0,0,0,0,0,0,0,0,0,6087.96359700147,50845.9129535205,0,0,0,189347.660020745,0,0,0,0,0,0,0,WHITE
BUGIS,DOWNTOWN CORE,0,0,0,0,0,0,0,0,104315.562191569,0,53539.2979284071,0,0,8058.60073663527,0,0,0,0,50987.6578075427,0,11572.0242600198,2143.25895006472,21405.7327262597,0,0,26680.304780075,0,0,1472.32799053428,0,0,0,0,ROAD
CECIL,DOWNTOWN CORE,0,0,0,0,0,0,0,0,79148.9042995235,0,86347.6231222267,0,0,0,0,0,0,0,6062.18828242468,0,13446.2572690166,1780.01895211782,7455.01684553379,0,0,0,519.919939569421,0,1859.92730121532,0,0,0,0,COMMERCIAL
CENTRAL SUBZONE,DOWNTOWN CORE,0,0,0,0,0,32905.2790073754,0,71636.327161529,331925.239457797,0,0,0,0,0,0,0,0,0,0,0,8616.93825397146,23928.8384540195,0,0,255494.355755753,346216.131068723,0,0,0,0,0,0,0,WHITE
CITY HALL,DOWNTOWN CORE,0,0,0,7787.82198417752,0,36078.0289952066,0,78988.9852285054,184463.825765486,0,163422.798719778,0,0,0,0,0,0,9183.00307216262,0,0,67489.8322173394,77303.9581559774,0,0,0,0,5168.96574756994,0,80681.4830627718,0,0,0,0,ROAD
CLIFFORD PIER,DOWNTOWN CORE,0,0,0,0,0,174135.166513838,0,833.454782881811,31119.7712957129,0,16478.483017111,0,0,0,0,0,0,0,0,0,0,16790.6833237624,0,0,0,3676.68900458627,0,0,18809.6468796992,0,0,0,0,WATERBODY
MARINA CENTRE,DOWNTOWN CORE,0,0,0,0,0,64708.2309948794,0,54861.7576149078,274304.74944068,0,149494.073854343,0,0,0,0,0,0,0,0,0,42868.5660112604,30968.6013843505,0,0,88548.2749874321,8770.62442692112,0,0,172429.929056459,0,0,0,0,ROAD
MAXWELL,DOWNTOWN CORE,0,0,0,1556.98548417996,0,0,0,0.000390004762664635,17403.4825032937,0,36243.5818009547,0,0,0,0,0,0,0,0,0,0,0,8460.91555015377,0,0,0,0.000544284865363734,0,0,0,0,0,0,COMMERCIAL
NICOLL,DOWNTOWN CORE,0,0,0,6116.79125927089,0,139398.236356709,0,63627.154035353,175287.427286109,0,60674.3199966798,0,1315.95825508621,0,0,0,0,0,0,0,5911.77829998758,0,0,0,154211.979635409,0,0,0,8379.95659685378,0,0,0,0,ROAD
PHILLIP,DOWNTOWN CORE,0,0,0,4187.85810770737,0,0,0,0,15940.1263258337,0,16468.5106108268,0,0,0,0,0,0,0,0,0,0,1392.19214807916,0,0,0,0,1449.24807081387,0,0,0,0,0,0,COMMERCIAL
RAFFLES PLACE,DOWNTOWN CORE,0,0,0,0,0,9775.83545616307,0,12091.665132774,59487.2820263066,0,99274.5596086958,0,0,0,0,0,0,0,0,0,0,5062.73198088019,0,0,0,3075.41629806015,0,0,0,0,0,0,0,COMMERCIAL
TANJONG PAGAR,DOWNTOWN CORE,0,0,0,2139.85321278493,0,0,0,5865.93478039436,47663.3956366211,0,53517.2515904266,0,0,0,0,0,0,0,0,0,0,0,21309.589920161,0,0,15022.6392492989,0,0,0,0,0,0,0,COMMERCIAL
ALJUNIED,GEYLANG,0,0,173186.863969779,16012.2162405154,0,54930.0476714249,0,14042.3081886402,714105.82235413,0,120034.789008886,0,9926.89456689575,19188.8737456921,136058.726316199,200964.826777191,981950.839268416,36237.2560452243,9328.75603423014,6734.07084187698,24131.3068108932,19840.5273506455,29390.2311244382,0,96065.183178405,0,20056.3308821067,0,957.821171999532,278322.225336199,0,0,0,RESIDENTIAL
GEYLANG EAST,GEYLANG,0,0,62157.1494924757,4389.91373536135,26461.0715074899,14748.7494917621,0,33702.5676309939,580028.851665132,0,259314.952419867,0,4834.48002398322,0,0,0,1061951.73473638,0,65335.8352830974,14808.3839374724,34508.0902639325,11316.864635615,30867.7475239033,0,343114.406750864,0,21072.8611526727,0,9811.55682011702,0,0,0,0,RESIDENTIAL
KALLANG WAY,GEYLANG,0,318782.27392643,0,0,0,15928.341164532,0,1136.86744317254,241788.519447036,0,0,0,4608.52954440417,0,0,381250.133999871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 1
KAMPONG UBI,GEYLANG,0,0,40543.2828967276,34346.8326762422,0,32470.5579631396,0,8796.57525099924,410541.520274176,0,0,0,7733.37297006388,0,0,987812.839603132,267789.868946211,0,0,0,47871.7535544377,5773.78061093585,15475.6680500942,0,0,0,18845.3908203675,0,0,0,0,0,0,BUSINESS 1
MACPHERSON,GEYLANG,0,0,73975.8995111785,0,0,58581.6751259566,0,36569.1663514932,222387.232810496,0,11916.5618774944,0,3025.55636269292,3963.52822957816,0,0,809052.102282676,0,0,0,14337.1895516509,398.584304261028,16815.1538982049,0,0,0,12386.7387854097,0,0,0,0,0,0,RESIDENTIAL
DEFU INDUSTRIAL PARK,HOUGANG,0,1177079.29754468,0,3503.5311191161,0,30928.9397273229,0,7559.01278484463,472861.560417734,0,8666.07035585023,0,10017.383662504,0,0,163322.76047447,0,0,0,0,23884.425715826,0,0,0,75356.2976123178,0,952.764243938235,0,0,0,0,0,0,BUSINESS 2
HOUGANG CENTRAL,HOUGANG,0,0,0,257.032732007715,0,0,0,11969.5767575931,130085.731181317,0,24019.3865964145,0,0,3933.47164557015,0,0,204597.521069663,0,45724.5248054044,0,0,0,0,0,21146.1829086007,0,0,0,0,0,0,0,0,RESIDENTIAL
HOUGANG EAST,HOUGANG,0,0,77958.9117432326,0,0,111441.85479398,0,105070.381808068,132925.895775658,0,0,0,0,0,0,0,382460.641433586,0,0,0,12385.5001284871,5151.13685591463,1151.69532100034,0,5184.65041985666,0,8936.95893890504,0,0,0,0,0,0,RESIDENTIAL
HOUGANG WEST,HOUGANG,0,0,108426.686826242,0,0,37159.9000493257,0,65286.971750381,204079.86339397,0,0,0,2348.5535742592,9797.48893412987,0,0,759945.291874774,59502.3971364956,0,0,23301.8019727057,16284.7673298765,21675.6545881912,0,21066.820811832,0,0,0,0,0,0,0,0,RESIDENTIAL
KANGKAR,HOUGANG,0,0,35418.2597811763,8491.82541333451,0,111955.254520276,0,23314.6043948164,158683.670391534,0,0,0,0,3920.42635167823,0,0,604193.850752871,0,17818.8552755622,0,4088.94620407161,14098.6561107455,9032.99497126476,0,3052.59390174947,0,13340.0638732913,0,0,0,0,0,0,RESIDENTIAL
KOVAN,HOUGANG,0,0,57439.7849731012,1828.72301789585,0,6081.91324134868,0,25598.2409970877,427757.020636656,0,0,0,5785.22241944038,8938.84050647302,0,0,1263456.00303303,0,22451.0498181514,0,34515.0497240284,0,4512.69621103561,0,58566.3614098542,0,31682.2354578885,0,0,0,0,0,0,RESIDENTIAL
LORONG AH SOO,HOUGANG,0,0,37701.664582119,9047.56127442834,0,19415.9228164021,0,64416.7188109896,292467.849960787,0,3461.88270332891,0,1338.09380545125,0,0,0,915637.831491734,0,92433.3635860678,0,10778.0259095139,3588.16723377368,26891.2747454661,0,22556.6883106191,0,15798.8225024038,0,0,0,0,0,0,RESIDENTIAL
LORONG HALUS,HOUGANG,0,899069.313019743,0,3862.511297572,0,123096.840829247,0,76453.5745978708,231049.171342583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
TAI SENG,HOUGANG,0,331940.98635048,92234.3756622412,35321.9734306484,0,25826.0814476438,0,32916.890117831,417164.767566949,0,0,0,100979.590372541,9060.01811600039,0,62896.6357816288,527251.013048222,0,12737.127506506,0,0,0,1352.49610179858,0,29239.50930501,0,17171.2993368706,42974.4391598697,0,0,0,57088.522570302,0,RESIDENTIAL
TRAFALGAR,HOUGANG,0,0,95715.7931532378,9055.45664257629,0,22712.242017279,0,37908.6667068655,357985.823294297,0,0,0,1289.42077672947,262411.734957139,0,0,823006.253051973,0,60609.0611280673,0,44483.0384385718,17509.9806410995,0,0,9694.69622118753,0,2005.22967501659,0,0,0,0,0,0,RESIDENTIAL
INTERNATIONAL BUSINESS PARK,JURONG EAST,0,0,0,5246.88416448127,0,29468.091861942,0,9182.32186175115,130699.86966305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69987.675429821,240437.464024122,0,BUSINESS PARK
JURONG GATEWAY,JURONG EAST,0,0,0,0,0,0,0,10898.4971016974,184140.572196964,56357.6972798613,42955.5289250723,0,0,54031.8963801217,0,0,12995.9659367651,0,55941.2428658561,23312.9002498951,0,7262.35476277968,0,0,8893.00397717438,98268.0608442042,0,0,0,0,0,0,0,ROAD
JURONG PORT,JURONG EAST,0,609616.42239216,0,104914.981487254,0,218386.011210412,1272657.78005446,0,259051.48575908,0,0,0,0,0,0,0,0,0,0,234.90634923083,0,0,0,0,0,0,0,0,0,0,0,0,0,PORT / AIRPORT
JURONG RIVER,JURONG EAST,0,1056339.63063251,0,9652.76859903363,0,396353.362791145,0,0,391066.252669357,0,0,0,0,0,0,0,379927.580548911,27806.2543519903,0,0,97305.5811073353,0,0,0,226979.77393019,0,0,0,0,0,0,0,0,BUSINESS 2
LAKESIDE (BUSINESS),JURONG EAST,0,0,0,1738.13229941923,0,0.210840678300827,0,10951.0077784981,126496.752983142,0,0,0,0,0,0,0,0,4.77906812931919e-10,0,3743.16070645571,0,0,0,0,0,999622.44765586,0,0,9030.01135485534,0,0,0,0,WHITE
LAKESIDE (LEISURE),JURONG EAST,0,0,0,8038.43881701292,0,623414.017374509,0,877409.759274872,130547.14287071,0,0,0,0,17276.620644489,0,0,147248.392454025,177446.963560371,0,8240.65672150091,0,0,0,0,0,1.4835832638854,0,0,0,0,0,0,0,PARK
PENJURU CRESCENT,JURONG EAST,0,2451193.56489723,0,14750.9227426577,0,274165.190833185,11848.792355891,0,299034.07041868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
TEBAN GARDENS,JURONG EAST,0,0,43077.7569683278,6143.70795558596,0,1922074.38565433,0,275391.241213316,313368.392025856,0,0,0,0,0,0,133258.401558956,390002.419434623,0,25538.7375923522,765.029407027647,5766.14898609685,43429.3508838322,3669.40555509843,0,11211.2110469664,0,13887.8822482974,0,0,0,0,0,0,WATERBODY
TOH GUAN,JURONG EAST,0,0,0,9867.00594023671,0,48997.7129079257,0,22756.7723576109,167043.444811528,0,0,0,0,0.00270795692962497,0,151875.79154754,276044.804461258,23176.5522427494,0,0,9496.25823510957,974.547001685717,552.894873177573,0,36096.4870654977,0,0,0,0,0,0,0,0,RESIDENTIAL
YUHUA EAST,JURONG EAST,0,0,75257.5359598826,4375.49634296047,0,3807.19819432498,0,29403.762547411,196397.627920843,0,0,0,1795.97748131671,1940.45008782568,0,0,507119.801646779,0,44832.652949627,0,4297.47118885772,20415.6137752471,11638.2110608736,0,13195.7429237699,0,10632.9637872145,0,0,0,0,0,0,RESIDENTIAL
YUHUA WEST,JURONG EAST,0,0,42741.7286813769,6349.68211362174,0,3674.34343320227,0,17891.5340758866,161501.581346627,0,0,0,1724.43771389737,15179.7946727976,0,0,426225.713621034,41030.382236253,43092.3395027875,0,3771.0042040338,4376.24331022996,3946.30834996033,0,0,0,4637.39830196801,0,0,0,0,0,0,RESIDENTIAL
BOON LAY PLACE,JURONG WEST,0,0,66553.7367985982,1070.52464645904,0,0,0,15231.29480872,169235.444098051,0,0,0,4826.75319736429,0,0,0,537259.380160282,6993.52553852758,42008.9964944062,0,2953.4023680063,27825.6065305791,6083.80093714704,0,16773.1163760724,0,9501.69044594923,0,0,0,0,0,0,RESIDENTIAL
CHIN BEE,JURONG WEST,0,1033560.30286053,0,1519.97158314467,0,25079.7808173252,0,0,208755.991774717,0,3931.55090418178,0,0,0,0,15102.2265915645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
HONG KAH,JURONG WEST,0,0,238917.81382067,0,0,39672.4745487234,0,24391.3873541444,292928.425039515,0,0,0,3304.78582484307,3781.18523454122,0,0,1001227.36404918,0,87781.433795337,0,16507.4571681012,31414.3150771187,21299.3154357413,0,23159.1531973588,0,9078.31782066522,0,0,0,0,0,0,RESIDENTIAL
JURONG WEST CENTRAL,JURONG WEST,0,0,74495.6512421099,0,0,28639.1107885352,0,17074.4838681678,289323.355133446,0,21371.3117941975,0,0,2524.95821113652,0,0,855961.972460019,0,70494.9594989472,7951.54098319267,9639.24740048424,21968.5735539471,0,0,2002.62037750771,0,3088.79607620608,0,0,0,0,0,0,RESIDENTIAL
KIAN TECK,JURONG WEST,0,1224397.17545474,0,21782.5263578606,0,137251.481893527,0,79064.5399673445,399305.42662965,0,2409.19088514614,0,26646.9983190658,0,0,34139.8762466543,0,60706.9383586957,0,0,112472.334140419,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
SAFTI,JURONG WEST,0,0,2.9012232823064,1073.16953897341,1410603.76861119,7155.02935466321,0,0,105715.969856278,0,0,0,0,0,0,0,0.057136513926604,0,0,0,0,0.448543159308323,0,0,0,0,0,0,0,0,0,0,0,SPECIAL USE
TAMAN JURONG,JURONG WEST,0,35380.0179369162,99917.5248961174,581.025552613129,0,26674.0193465813,0,28049.8437337933,265507.741651232,0,4879.11037566066,0,2803.36562568497,4758.08440507181,0,66335.2410662684,824498.486997277,0,58252.7550706668,8535.35397810008,3855.36308254457,15620.6634393346,1307.46624284569,0,24295.7615625523,0,13044.6316837073,0,0,0,0,0,0,RESIDENTIAL
WENYA,JURONG WEST,0,923490.015203076,40876.0729202454,13324.1907531973,0,16546.727974772,0,64994.3242287215,529735.70970783,0,0,0,0,15296.3760786367,0,0,101519.967978337,0,0,0,71605.7814470814,7587.88031831116,0,0,14117.6494764389,0,9420.00792960861,0,0,0,0,166426.910352793,0,BUSINESS 2
YUNNAN,JURONG WEST,0,0,127512.852767945,11639.3201230375,2.18671083208082,28015.4765572439,0,38682.0306099584,453803.240839849,0,13751.1680963889,0,4334.23089139283,5236.08805948623,0,0,1359015.88621261,50615.2700086686,30124.9002032895,241.739637163293,29920.9368222487,21262.5782180683,849.670536298248,0,13790.916662432,0,17506.5063142642,0,0,0,0,0,0,RESIDENTIAL
BENDEMEER,KALLANG,0,0,85673.5742033701,2418.43160044475,0,88640.8530506586,0,20814.505391619,293895.849185055,0,5335.45240741919,0,0,20037.4746179463,0,0,712287.160178884,21028.0981372638,13589.1673601993,0,13842.6032007526,27660.6271106865,43936.8446964929,0,4972.65703927091,0,22696.7434735259,0,0,0,0,0,0,RESIDENTIAL
BOON KENG,KALLANG,0,0,11522.3460345083,0,0,52164.408137664,0,15555.0370355391,85436.515457036,0,3945.10828058456,0,0,0,0,0,222263.61020497,0,0,7197.4018657832,7453.30057213954,0,4741.7390934727,0,0,0,659.536487603629,0,0,0,0,0,0,RESIDENTIAL
CRAWFORD,KALLANG,0,0,9103.77312064337,0,0,5216.96079297002,0,19515.3941611897,51149.0778873889,0,16265.5935306026,0,2621.89782640408,0,0,0,44994.6647646726,0,48736.6060448139,0,2602.6382598835,0,27326.4207540909,0,0,0,1642.54128512441,0,6821.3391684853,0,0,0,0,ROAD
GEYLANG BAHRU,KALLANG,0,0,39401.8727258231,26119.0127424941,0,57900.3642244167,0,36465.7188737145,153216.636425069,0,15221.4935289997,0,0,4460.68989386672,0,0,340865.214817706,0,0,0,4327.65692871831,0,12518.432652371,0,45005.1343563656,0,0,0,0,0,0,0,0,RESIDENTIAL
KALLANG BAHRU,KALLANG,0,0,0,4197.69897676057,0,49520.4167646254,0,12050.5685768441,170461.365564223,67919.7451671766,2633.1724448663,0,1841.06209751123,0,0,418864.17728688,37173.4496241428,0,0,0,2542.62869685387,0,0,0,70874.0248093836,0,1601.07400675447,0,0,0,0,0,0,BUSINESS 1
KAMPONG BUGIS,KALLANG,0,0,0,5972.64346923929,0,119630.063096627,0,84280.96034115,201556.955673625,0,56339.5940705881,0,0,0,0,0,34498.851538486,0,1960.94094203123,0,0,21271.4065312168,2443.77753716009,0,1574.51655903004,163811.876294253,1404.18470742815,0,47457.232947576,0,0,0,0,ROAD
KAMPONG JAVA,KALLANG,0,0,34759.7848708291,18972.2468067491,0,0,0,6191.74712415394,312709.74259941,0,5264.32769244963,0,6705.78821912311,47734.4338123382,0,0,448728.778572772,60117.3751434266,0,0,19831.241246489,6124.05120107512,44184.6359119472,0,31553.6645525871,0,9154.36046396532,0,0,0,0,0,0,RESIDENTIAL
LAVENDER,KALLANG,0,0,0,4859.71366757503,0,4437.4779808743,0,18167.2741875787,220755.274623437,0,122646.413631307,0,7724.27168710892,2119.02277051279,0,0,140771.608636233,28234.2162939357,14526.2577680139,0,51602.1644245818,0,102858.458955552,0,0,0,16167.8582161735,0,22055.8426766734,0,0,0,0,ROAD
TANJONG RHU,KALLANG,0,0,52118.8458516355,6234.73111589647,0,502079.238167379,0,85624.3232894557,456775.680962345,0,35511.2428302842,0,5390.9496053173,0,0,0,513325.436457206,538995.380649742,0,0,11464.1957640362,23483.1370303524,6053.83090289667,0,185008.562485252,0,0,0,12528.4723842317,0,0,0,0,SPORTS & RECREATION
LIM CHU KANG,LIM CHU KANG,0,0,0,1364250.31125136,0.00318096542153926,1904486.68063787,0,2374053.10411869,517967.459982007,0,0,0,9064.16830395256,0,0,0,0,756337.71069855,0,0,7177.58817122498,7029966.68484198,0,0,616018.335331238,0,0,0,0,0,0,0,2915817.298173,OPEN SPACE
MANDAI EAST,MANDAI,0,0,0,10243.6615053663,6377391.00498504,0,0,11232.341942778,262537.226724147,0,0,0,0,0,0,0,10.6101106599083,574340.208580904,0,0,0,0,0.00125251342611068,0,0,0,0,0,0,0,0,0,0,SPECIAL USE
MANDAI ESTATE,MANDAI,0,0,0,334.975016271888,0.629009499559444,0,0,1699.65974292996,33630.9276701628,0,0,0,0,0,0,0,96226.6710682527,0,0,0,0,0,11245.0789695225,0,0,0,0,0,0,0,0,0,0,RESIDENTIAL
MANDAI WEST,MANDAI,0,0,0,138607.352058271,0,879.766057310872,0,0,373879.724910842,0,0,0,335526.431015102,0,0,0,0,0,0,0,107023.660092874,3269621.55924168,0,0,162876.676041024,0,0,0,0,0,0,0,0,OPEN SPACE
MARINA EAST,MARINA EAST,0,0,0,17366.1002646436,0,387000.284292751,0,402075.680475281,80203.0986240907,0,0,0,0,0,0,0,0,0,0,0,0,4686.2504296228,0,0,952705.372437124,0,0,0,0,0,0,0,0,RESERVE SITE
MARINA SOUTH,MARINA SOUTH,0,0,0,27746.0651596148,0,317296.859527674,0,533091.971125738,219594.834662385,0,0,0,0,0,0,0,0,0,0,0,0,46337.5116036876,73348.1018019412,0,186375.537789159,226588.747682331,0,0,0,0,0,0,0,PARK
EAST COAST,MARINE PARADE,61715.2611547937,0,0,0,0,6279.39851799358,0,428670.485742808,95113.8543256953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PARK
KATONG,MARINE PARADE,0,0,66055.587146829,6534.49903403818,0,0,0,16868.0151377834,221437.766439449,0,47425.6037435085,0,3541.37077809925,4000.69047195737,0,0,628008.435463736,0,14441.3032798914,0,10017.757958092,16275.6051943122,21128.7769959837,0,5783.05341386119,0,16106.4108091692,0,1367.17310155837,0,0,0,0,RESIDENTIAL
MARINA EAST (MP),MARINE PARADE,10151.7510932199,0,0,26994.0846676934,0,0,0,311965.288066875,108716.653745462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132512.00678003,0,0,0,0,0,0,0,0,RESERVE SITE
MARINE PARADE,MARINE PARADE,0,0,62281.8059713965,5230.02963409783,0,6878.4720861073,0,14276.9318618072,281878.091901234,0,90170.7105632422,0,0,1244.85347692178,0,0,602280.351539097,18629.7289383125,14135.6511461629,0,8512.97030381214,0,5755.05397998566,0,20272.9819824907,0,1485.70518319661,0,26984.1309947938,0,0,0,0,RESIDENTIAL
MOUNTBATTEN,MARINE PARADE,0,0,71338.1384808123,3317.87829394158,0,29842.2057073641,0,54133.2332465751,344124.541619039,0,0,0,1548.06197003095,0,0,0,1141823.46936763,14018.0134320718,0,0,0,21800.9881287585,17320.6278056685,0,12678.7286478682,0,0,0,0,0,0,0,0,RESIDENTIAL
BRAS BASAH,MUSEUM,0,0,45223.3199891686,774.571871848004,0,0,0,4532.97448434453,66841.2442512613,0,18063.4326724615,0,0,0,0,0,0,0,0,0,36389.8041201276,17789.9242237487,0,0,0,0,24017.0055214127,0,5175.4387908125,0,0,0,0,ROAD
DHOBY GHAUT,MUSEUM,0,0,10598.5402380239,0,0,0,0,12546.7679564259,75438.481151417,0,74165.5388943488,0,0,0,0,0,7768.21685065895,0,24764.3223079003,0,7390.67132595639,5296.9770978123,3111.46483631096,0,0,0,0.188673446834442,0,917.003571868989,0,0,0,0,ROAD
FORT CANNING,MUSEUM,0,0,6.2046147705523,29389.3421741675,0,0,0,209219.170369788,53115.5768820924,0,9364.09339789604,0,0,0,0,0,11216.0946099752,0,3210.3340703792,0,24642.6212418324,9970.15334189911,2542.18247942687,0,26513.7399056707,0,9543.69189129956,0,0,0,0,0,0,PARK
CAIRNHILL,NEWTON,0,0,0,0,0,0,0,0,101092.595346337,0,837.474952793363,0,0,15202.4602368353,0,0,290936.178355818,0,0,0,9444.57452934946,4751.98155257095,0,0,22838.2583501906,0,1590.33616828217,0,4843.79256896788,0,0,0,0,RESIDENTIAL
GOODWOOD PARK,NEWTON,0,0,0,0,0,4964.38100937937,0,0,51848.5815767773,0,0,0,0,0,0,0,97457.1634673248,0,4146.4787030248,0,3683.7330230528,0,0,0,183421.871013157,0,3215.43080829809,0,2567.60450218251,0,0,0,0,RESERVE SITE
ISTANA NEGARA,NEWTON,0,0,0,25795.6499812985,0,0,0,30294.1628849632,48719.2166257806,0,0.00775946312683011,0,0,0,0,0,1220.50505206792,0,0,0,405964.327563899,0.000592515636664455,0,0,31489.8073253406,0,0,0,0,0,0,0,0,CIVIC & COMMUNITY INSTITUTION
MONK'S HILL,NEWTON,0,0,39110.6834679563,2160.40501277408,0,0,0,0,37539.0406573931,0,0,0,2352.64362172944,0,0,0,58795.3775457005,0,0,0,0,27648.4811129842,0,0,5048.23057217502,0,0,0,0,0,0,0,0,RESIDENTIAL
NEWTON CIRCUS,NEWTON,0,0,0,0,0,1409.89020391071,0,0,65562.6261125491,0,12413.3938942742,0,0,0,0,0,9622.46728442727,0,0,0,8.38332270506566,0,15384.0916847091,0,101942.310201724,0,0,0,7175.517025068,0,0,0,0,RESERVE SITE
ORANGE GROVE,NEWTON,0,0,40124.2908875139,946.108327283038,0,0,0,0,64629.8640327137,0,933.305673798952,0,0,0,0,0,198179.095116405,28641.7581986568,1.96690658636297,0,0,0,0,0,2751.22001015831,0,0,0,13.8631909139778,0,0,0,0,RESIDENTIAL
NORTH-EASTERN ISLANDS,NORTH-EASTERN ISLANDS,0,0,0,35904.894173802,717249.205548621,792468.246806088,0,0,0,0,0,0,0,0,0,0,0,474550.815487947,0,0,0,25659816.5477535,0,0,39373698.4668365,0,0,0,0,0,0,0,196804.963874801,RESERVE SITE
BALESTIER,NOVENA,0,0,66291.1180567061,1285.62009525275,0,80562.7744715085,0,22303.9600272255,464039.578368568,0,7221.20342479336,0,11124.9746403174,35618.4640163098,0,30607.0299300486,938895.951884459,13893.4576633813,104302.819493851,0,64390.4480085023,3291.9566233963,7843.5178594996,0,25892.505022993,0,26534.7674185783,0,22521.7760002554,0,0,0,0,RESIDENTIAL
DUNEARN,NOVENA,0,0,0,581.768106999623,0,18177.4018093645,0,10526.3662491547,293892.472827505,0,4850.57873742973,0,3731.28823847601,0,0,0,821035.711338565,17846.3805966605,0,0,15567.6252650103,0,0,27597.6785476574,15514.2624329265,0,572.856653530166,0,0,0,0,0,0,RESIDENTIAL
MALCOLM,NOVENA,0,0,204345.592515892,5275.61194797709,0,15029.8638571815,0,16796.1545018066,248104.620834993,0,0,0,22370.7425975901,3913.52193821908,0,0,767890.044779414,0,0,0,4933.17770422791,0,0,30452.538160575,0,0,0,0,0,0,0,0,0,RESIDENTIAL
MOULMEIN,NOVENA,0,0,43503.032497766,19326.1142089847,0,7667.95383949239,0,12765.2348846887,342701.042429635,0,67497.2870781219,0,4338.06521595704,124293.347698821,0,0,653678.342397488,0,1468.04442743776,0,10180.084897495,985.472669365504,7806.25041312056,0,0,14533.8012745209,23763.4748268234,0,12948.4630507883,0,0,0,0,RESIDENTIAL
MOUNT PLEASANT,NOVENA,0,0,0,342.803091632304,0,16476.996374316,0,0,414699.612504707,0,0,0,4301.21156623027,0,0,0,1560677.63045697,91885.9538538497,0,0,69784.9740694253,0,0,900251.693045272,86506.773206492,0,0,0,0,0,0,0,0,RESIDENTIAL
BOULEVARD,ORCHARD,0,0,0,0,0,0,0,0,132039.012848066,0,150507.798992811,0,0,0,0,0,34851.7917234988,3.26812627130671,21348.6695228462,0,0,0,0,0,10170.1497510814,0,0,0,111629.749978559,0,0,0,0,COMMERCIAL
SOMERSET,ORCHARD,0,0,0,989.368653778897,0,0,0,513.997656459859,114285.373672198,0,128384.627728916,0,0,0,0,0,0.013292031231396,0,26201.8021753046,0,761.408661879025,2412.05249739319,4.07103852626277,0,16967.574417594,0,0,0,38917.6495011212,0,0,0,0,COMMERCIAL
TANGLIN,ORCHARD,0,0,0,0,0,0,0,0,51331.7965898248,0,17231.9438034674,0,0,0,0,0,30028.3909530865,0,28525.1941583096,0,4340.18134444464,0,0,0,0,0,0,0,36079.525029126,0,0,0,0,ROAD
CHINA SQUARE,OUTRAM,0,0,0,0,0,0,0,0,35957.8530528039,0,36914.5565949662,0,0,0,0,0,0,0,20798.1189074122,0,326.543340545351,4356.31684807878,0,0,0,27694.6582071719,0,0,6958.88907346365,0,0,0,0,COMMERCIAL
